Title,Authors,Publisher,Published Date
Dancing with Python,Robert S. Sutor,Packt Publishing Ltd,2021-08-31
Python,Cyberpunk University,Createspace Independent Publishing Platform,2017-01-17
Programming in Python 3,Mark Summerfield,Addison-Wesley Professional,2010
Core Python Programming,Wesley Chun,Prentice Hall Professional,2001
Python Projects,"Laura Cassell, Alan Gauld",John Wiley & Sons,2014-11-24
PYTHON 3,"ONUR SEVLİ, KODLAB YAYIN",KODLAB YAYIN DAĞITIM YAZILIM LTD.ŞTİ.,2021-04-01
Python for the Busy Java Developer,Deepak Sarda,Apress,2021-04-01
Beginning Python,"Peter C. Norton, Alex Samuel, Dave Aitel, Eric Foster-Johnson, Leonard Richardson, Jason Diamond, Aleatha Parker, Michael Roberts",John Wiley & Sons,2008-05-05
Mühendisler için Python Programlama ve Uygulamaları,Mehmet Çağdaş İŞİM,Dikeyeksen Yayıncılık,2021-04-28
MySQL for Python,"Albert Lukaszewski, Antony Reynolds",Packt Publishing Ltd,2010-09-21
